Tm,Year,Season,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,OeFGPerc,OTOVPerc,ORBPerc,OFTPerFGA,DeFGPerc,DTOVPerc,DRBPerc,DFTPerFGA,Arena,Attendance
ATL,2007,2006-07,30,52,27,55,-4.76,-0.1,-4.86,103,108.3,90,0.346,0.163,0.471,0.151,0.292,0.263,0.503,0.145,0.709,0.268,Philips Arena,639375
BOS,2007,2006-07,24,58,31,51,-3.41,-0.29,-3.7,103.2,106.9,92,0.337,0.199,0.479,0.154,0.27,0.259,0.502,0.145,0.738,0.28,TD Banknorth Garden,690576
CHA,2007,2006-07,33,49,30,52,-3.74,-0.22,-3.97,103.6,107.6,92,0.322,0.193,0.48,0.139,0.264,0.236,0.5,0.147,0.716,0.279,Charlotte Bobcats Arena,637520
CHI,2007,2006-07,49,33,55,27,5.01,-0.49,4.52,104.9,99.6,93.6,0.313,0.186,0.493,0.147,0.286,0.229,0.473,0.162,0.743,0.252,United Center,912364
CLE,2007,2006-07,50,32,52,30,3.83,-0.5,3.33,105.5,101.3,90.8,0.32,0.211,0.484,0.134,0.297,0.223,0.48,0.147,0.758,0.243,Quicken Loans Arena,837883
DAL,2007,2006-07,67,15,61,21,7.22,0.06,7.28,111.3,103.2,89.5,0.317,0.218,0.509,0.134,0.287,0.256,0.477,0.142,0.75,0.265,American Airlines Center,834411
DEN,2007,2006-07,45,37,45,37,1.62,0.07,1.69,107.6,105.9,97.4,0.36,0.212,0.501,0.146,0.289,0.268,0.499,0.145,0.718,0.203,Pepsi Center,706437
DET,2007,2006-07,53,29,53,29,4.16,-0.47,3.69,108.9,104.2,87.3,0.307,0.201,0.488,0.12,0.283,0.237,0.477,0.143,0.709,0.234,The Palace of Auburn Hills,905116
GSW,2007,2006-07,42,40,40,42,-0.34,0.34,0,107,107.4,99.2,0.3,0.279,0.512,0.141,0.256,0.215,0.506,0.161,0.696,0.264,Oracle Arena,742267
HOU,2007,2006-07,52,30,55,27,4.85,0.19,5.04,106,100.7,90.7,0.292,0.29,0.499,0.136,0.257,0.22,0.466,0.136,0.77,0.23,Toyota Center,678362
IND,2007,2006-07,35,47,34,48,-2.44,-0.18,-2.62,102.9,105.5,92.4,0.324,0.212,0.474,0.151,0.284,0.246,0.491,0.148,0.727,0.271,Conseco Fieldhouse,629750
LAC,2007,2006-07,40,42,40,42,-0.46,0.39,-0.07,105.1,105.6,90.8,0.355,0.143,0.481,0.145,0.272,0.28,0.488,0.133,0.747,0.249,STAPLES Center,755261
LAL,2007,2006-07,42,40,41,41,-0.07,0.32,0.24,108.6,108.6,93.5,0.333,0.259,0.511,0.143,0.261,0.249,0.5,0.135,0.723,0.262,STAPLES Center,778415
MEM,2007,2006-07,22,60,27,55,-5.15,0.71,-4.44,106.9,112.3,93.6,0.374,0.211,0.504,0.152,0.259,0.285,0.529,0.14,0.711,0.237,FedEx Forum,600836
MIA,2007,2006-07,44,38,38,44,-0.91,-0.29,-1.21,104.3,105.3,89.9,0.321,0.245,0.506,0.143,0.249,0.222,0.485,0.138,0.733,0.232,AmericanAirlines Arena,808541
MIL,2007,2006-07,28,54,29,53,-4.38,-0.06,-4.43,107,111.7,92.3,0.286,0.219,0.504,0.141,0.276,0.209,0.522,0.145,0.681,0.234,Bradley Center,663629
MIN,2007,2006-07,32,50,30,52,-3.67,0.51,-3.16,103.9,107.9,91,0.291,0.167,0.49,0.148,0.251,0.231,0.498,0.133,0.721,0.226,Target Center,655947
NJN,2007,2006-07,41,41,39,43,-0.77,-0.23,-1,105.7,106.6,91.4,0.338,0.263,0.504,0.142,0.246,0.245,0.49,0.137,0.744,0.266,Continental Airlines Arena,693955
NOK,2007,2006-07,39,43,36,46,-1.57,0.38,-1.19,104.8,106.5,90.2,0.291,0.188,0.479,0.136,0.291,0.215,0.499,0.132,0.747,0.212,Ford Center,731165
NYK,2007,2006-07,33,49,33,49,-2.85,-0.21,-3.06,105.7,108.8,90.8,0.377,0.216,0.494,0.159,0.31,0.27,0.504,0.13,0.74,0.246,Madison Square Garden (IV),770617
ORL,2007,2006-07,40,42,43,39,0.78,-0.43,0.35,104.9,104.1,89.9,0.393,0.158,0.5,0.163,0.293,0.276,0.48,0.146,0.737,0.286,Amway Arena,700887
PHI,2007,2006-07,35,47,32,50,-3.02,-0.23,-3.26,103.6,106.9,90.7,0.333,0.128,0.48,0.146,0.272,0.255,0.501,0.147,0.708,0.221,Wachovia Center,608603
PHO,2007,2006-07,61,21,59,23,7.3,-0.03,7.28,113.9,106.4,95.6,0.267,0.287,0.551,0.134,0.227,0.215,0.492,0.136,0.719,0.206,US Airways Center,755302
POR,2007,2006-07,32,50,29,53,-4.29,0.51,-3.78,105.1,109.9,88.3,0.314,0.193,0.483,0.145,0.282,0.241,0.508,0.135,0.73,0.267,Rose Garden Arena,670778
SAC,2007,2006-07,33,49,36,46,-1.8,0.46,-1.35,106.2,108,94.8,0.379,0.232,0.491,0.135,0.231,0.289,0.513,0.149,0.725,0.24,ARCO Arena (II),709997
SAS,2007,2006-07,58,24,64,18,8.43,-0.08,8.35,109.2,99.9,89.8,0.313,0.247,0.521,0.136,0.242,0.235,0.471,0.14,0.757,0.201,AT&T Center,764823
SEA,2007,2006-07,31,51,33,49,-2.89,0.45,-2.45,107.2,110.3,91.8,0.288,0.219,0.499,0.145,0.278,0.228,0.515,0.141,0.709,0.243,KeyArena at Seattle Center,654163
TOR,2007,2006-07,47,35,44,38,0.99,-0.38,0.61,107,106,92.6,0.303,0.224,0.504,0.13,0.222,0.239,0.503,0.143,0.745,0.219,Air Canada Centre,748603
UTA,2007,2006-07,51,31,49,33,2.87,0.2,3.06,110.1,107,91.6,0.38,0.163,0.502,0.145,0.317,0.283,0.496,0.144,0.751,0.314,EnergySolutions Arena,802214
WAS,2007,2006-07,41,41,40,42,-0.51,-0.28,-0.8,110.1,110.6,94.1,0.356,0.237,0.491,0.126,0.281,0.272,0.517,0.144,0.71,0.249,Verizon Center,753283
ATL,2008,2007-08,37,45,36,46,-1.82,-0.41,-2.23,106.9,108.9,91.1,0.34,0.165,0.483,0.14,0.297,0.263,0.501,0.129,0.717,0.217,Philips Arena,667518
BOS,2008,2007-08,66,16,67,15,10.26,-0.95,9.3,110.2,98.9,90.9,0.346,0.249,0.522,0.147,0.266,0.267,0.457,0.152,0.744,0.253,TD Banknorth Garden,763584
CHA,2008,2007-08,32,50,29,53,-4.38,-0.11,-4.49,104.6,109.4,91.8,0.323,0.22,0.492,0.139,0.256,0.23,0.505,0.134,0.71,0.235,Charlotte Bobcats Arena,603403
CHI,2008,2007-08,33,49,32,50,-3.09,-0.11,-3.19,103.9,107.2,93,0.296,0.19,0.47,0.134,0.289,0.223,0.496,0.142,0.731,0.258,United Center,901502
CLE,2008,2007-08,45,37,40,42,-0.35,-0.17,-0.53,106,106.4,90.2,0.308,0.231,0.48,0.131,0.304,0.221,0.494,0.129,0.759,0.24,Quicken Loans Arena,839074
DAL,2008,2007-08,51,31,54,28,4.54,0.16,4.7,111.1,106.1,90.2,0.318,0.215,0.502,0.123,0.267,0.259,0.474,0.117,0.75,0.252,American Airlines Center,831738
DEN,2008,2007-08,50,32,51,31,3.71,0.03,3.74,110,106.3,99.7,0.358,0.228,0.51,0.129,0.255,0.269,0.499,0.141,0.721,0.203,Pepsi Center,711962
DET,2008,2007-08,59,23,62,20,7.39,-0.72,6.67,111.4,102.9,87.3,0.3,0.203,0.495,0.114,0.294,0.23,0.47,0.134,0.737,0.244,The Palace of Auburn Hills,905116
GSW,2008,2007-08,48,34,47,35,2.21,0.17,2.38,111.8,109.5,98.8,0.276,0.295,0.511,0.115,0.272,0.208,0.509,0.147,0.703,0.258,Oracle Arena,804864
HOU,2008,2007-08,55,27,55,27,4.68,0.15,4.83,106.8,101.6,90.4,0.276,0.255,0.492,0.13,0.291,0.2,0.465,0.128,0.748,0.214,Toyota Center,718524
IND,2008,2007-08,36,46,37,45,-1.4,-0.46,-1.87,106,107.5,97.7,0.292,0.289,0.498,0.135,0.244,0.224,0.498,0.141,0.739,0.271,Conseco Fieldhouse,501092
LAC,2008,2007-08,23,59,21,61,-7.27,0.71,-6.56,101.2,109.1,92.1,0.338,0.167,0.465,0.137,0.231,0.264,0.503,0.128,0.731,0.236,STAPLES Center,692408
LAL,2008,2007-08,57,25,59,23,7.26,0.09,7.34,113,105.5,95.6,0.333,0.257,0.525,0.129,0.263,0.256,0.485,0.129,0.734,0.214,STAPLES Center,778877
MEM,2008,2007-08,22,60,25,57,-6.21,0.45,-5.76,105,111.4,95.3,0.311,0.264,0.5,0.14,0.238,0.225,0.521,0.122,0.734,0.196,FedEx Forum,523578
MIA,2008,2007-08,15,67,18,64,-8.65,0.11,-8.53,100.5,110,90.2,0.3,0.217,0.482,0.144,0.221,0.218,0.51,0.136,0.719,0.245,AmericanAirlines Arena,798004
MIL,2008,2007-08,26,56,23,59,-6.89,-0.03,-6.92,105.3,112.8,91.3,0.294,0.195,0.482,0.137,0.3,0.215,0.524,0.13,0.73,0.25,Bradley Center,639421
MIN,2008,2007-08,22,60,23,59,-6.78,0.52,-6.26,103.8,111.2,91.9,0.248,0.185,0.484,0.136,0.275,0.183,0.513,0.129,0.736,0.269,Target Center,593537
NJN,2008,2007-08,34,48,27,55,-5.06,-0.09,-5.15,104,109.4,91.5,0.347,0.222,0.481,0.142,0.266,0.255,0.497,0.127,0.738,0.271,Izod Center,641921
NOH,2008,2007-08,56,26,56,26,5.28,0.18,5.46,111.5,105.7,89.9,0.251,0.239,0.512,0.114,0.27,0.193,0.501,0.135,0.754,0.184,New Orleans Arena,581432
NYK,2008,2007-08,23,59,23,59,-6.61,0.06,-6.55,104.7,111.9,91.6,0.31,0.215,0.475,0.134,0.286,0.226,0.518,0.121,0.727,0.229,Madison Square Garden (IV),783739
ORL,2008,2007-08,52,30,56,26,5.46,-0.68,4.79,111.3,105.5,93.4,0.355,0.322,0.537,0.136,0.234,0.256,0.484,0.123,0.748,0.217,Amway Arena,709346
PHI,2008,2007-08,40,42,42,40,0.41,-0.23,0.19,106.4,106,90.4,0.321,0.143,0.482,0.134,0.318,0.227,0.504,0.151,0.72,0.205,Wachovia Center,609675
PHO,2008,2007-08,55,27,54,28,5.05,0.09,5.14,113.3,108.1,96.7,0.292,0.26,0.551,0.134,0.224,0.228,0.488,0.118,0.709,0.191,US Airways Center,755302
POR,2008,2007-08,41,41,38,44,-0.98,0.45,-0.52,107.3,108.4,87.9,0.281,0.218,0.489,0.126,0.268,0.216,0.491,0.121,0.718,0.212,Rose Garden Arena,801566
SAC,2008,2007-08,38,44,35,47,-2.26,0.4,-1.86,107.5,109.9,94.7,0.346,0.208,0.503,0.148,0.252,0.276,0.51,0.139,0.717,0.256,ARCO Arena (II),580181
SAS,2008,2007-08,56,26,55,27,4.79,0.31,5.1,107.2,101.8,88.8,0.276,0.251,0.504,0.126,0.234,0.21,0.477,0.128,0.771,0.201,AT&T Center,761149
SEA,2008,2007-08,20,62,19,63,-8.76,0.72,-8.04,100.5,109.5,96.3,0.265,0.134,0.467,0.143,0.268,0.204,0.503,0.119,0.737,0.215,KeyArena at Seattle Center,547556
TOR,2008,2007-08,41,41,49,33,2.9,-0.44,2.47,110.2,107,90.2,0.247,0.217,0.511,0.114,0.234,0.2,0.505,0.135,0.75,0.205,Air Canada Centre,796835
UTA,2008,2007-08,54,28,59,23,6.88,-0.01,6.86,113.8,106.5,93.2,0.349,0.166,0.528,0.136,0.295,0.265,0.501,0.15,0.741,0.294,EnergySolutions Arena,816211
WAS,2008,2007-08,43,39,40,42,-0.33,-0.28,-0.61,109.2,109.6,89.5,0.297,0.241,0.489,0.125,0.289,0.233,0.513,0.135,0.728,0.217,Verizon Center,736461
ATL,2009,2008-09,47,35,46,36,1.57,0.13,1.7,109.3,107.6,89.6,0.323,0.253,0.504,0.125,0.26,0.238,0.494,0.132,0.716,0.21,Philips Arena,686688
BOS,2009,2008-09,62,20,61,21,7.51,-0.07,7.44,110.5,102.3,90.4,0.328,0.214,0.528,0.15,0.279,0.251,0.47,0.14,0.756,0.253,TD Banknorth Garden,763584
CHA,2009,2008-09,35,47,37,45,-1.27,0.07,-1.2,104.7,106.1,88.3,0.312,0.213,0.494,0.151,0.277,0.231,0.498,0.144,0.73,0.229,Time Warner Cable Arena,597548
CHI,2009,2008-09,41,41,40,42,-0.28,0.12,-0.16,108.4,108.7,93.1,0.3,0.189,0.493,0.133,0.28,0.239,0.493,0.131,0.709,0.238,United Center,868667
